# Energy of the simulation (kJ/mol)
# Step Potential Kinetic Total
1 -3647.8134039898828 3741.008148861113 93.19474487123027
2 -3649.7106714075776 3739.495380893991 89.78470948641338
3 -3650.8086147387826 3736.9212319534827 86.11261721470018
4 -3649.1761702995486 3733.2816649355314 84.10549463598288
5 -3645.9050050218834 3728.574633553853 82.66962853196928
6 -3641.3880929594466 3722.8013169224027 81.41322396295641
7 -3635.4481683243835 3715.9640400514427 80.51587172705898
8 -3628.104642939451 3708.065851819236 79.96120887978522
9 -3619.6225407261077 3699.1107136345445 79.48817290843664
10 -3609.97406137037 3689.1034614676946 79.12940009732488
11 -3599.279061842817 3678.0497500839037 78.77068824108699
12 -3587.4462946445965 3665.956168257549 78.50987361295289
13 -3574.5483341598615 3652.8300872092395 78.28175304937817
14 -3560.4956883929717 3638.6799529540945 78.18426456112275
15 -3545.5100014648556 3623.5152458700695 78.00524440521387
16 -3529.422408492948 3607.346497412943 77.92408891999483
17 -3512.1959255705356 3590.1857674064554 77.98984183592023
18 -3494.0716700295056 3572.045899981198 77.97422995169245
19 -3474.9657578751435 3552.940704721597 77.97494684645328
20 -3454.731006864086 3532.8862286220397 78.15522175795347
21 -3433.4829095672935 3511.900010783675 78.41710121638188
22 -3411.1747313228666 3490.000978649806 78.82624732693893
23 -3388.25133978857 3467.2091321093694 78.95779232079944
24 -3364.065593876865 3443.546720814113 79.48112693724785
25 -3338.8871579977863 3419.0385844462003 80.15142644841383
26 -3313.230711454745 3393.7099427887692 80.47923133402448
27 -3286.699549947058 3367.5882358558647 80.88868590880656
28 -3259.2262292438627 3340.7038582940113 81.47762905014858
29 -3231.0387285586617 3313.089284808138 82.05055624947641
30 -3202.073909286887 3284.779328710553 82.70541942366567
31 -3172.3858135042165 3255.81124639937 83.42543289515353
32 -3142.111720731798 3226.2246793980858 84.11295866628814
33 -3111.2447930894687 3196.0618051672077 84.81701207773862
34 -3080.0416857648224 3165.3671533623856 85.32546759756323
35 -3048.0443780392216 3134.1886211307 86.14424309147876
36 -3015.743777597236 3102.576516178186 86.83273858094996
37 -2983.0782780050517 3070.583380582204 87.50510257715243
38 -2950.0546366943126 3038.264706107264 88.2100694129512
39 -2916.909883743981 3005.678366555823 88.76848281184218
40 -2883.4438251016672 2972.8851821767107 89.44135707504348
41 -2850.0625466516763 2939.9484383782815 89.88589172660498
42 -2816.587047522028 2906.9338295059465 90.34678198391867
43 -2783.003947004302 2873.9096975670136 90.90575056271186
44 -2749.44861131994 2840.946136578165 91.49752525822468
45 -2716.139621109737 2808.114779524584 91.97515841484639
46 -2682.8084778701336 2775.4896194001844 92.68114153005064
47 -2649.8234834108207 2743.145832866632 93.32234945581135
48 -2617.3752034418108 2711.15904177325 93.78383833143899
49 -2585.409201453989 2679.6056046943418 94.19640324035248
50 -2553.904569539518 2648.56253827299 94.65796873347185
51 -2522.9544658600034 2618.106752806535 95.15228694653167
52 -2492.5865737043305 2588.314699388247 95.72812568391646
53 -2463.2194166888603 2559.262161578383 96.04274488952292
54 -2434.47088114193 2531.0238685436143 96.55298740168372
55 -2406.658218497721 2503.672457554365 97.01423905664424
56 -2379.80263479758 2477.2780295079274 97.47539471034733
57 -2353.89077141851 2451.9086874423565 98.0179160238465
58 -2329.1181652804835 2427.6295028019076 98.51133752142425
59 -2305.4648227559614 2404.501931800066 99.03710904410444
60 -2283.0864741971036 2382.583724341925 99.49725014482134
61 -2261.938684342407 2361.9285906178334 99.98990627542621
62 -2242.250345728286 2342.5856526608814 100.33530693259515
63 -2223.756168714793 2324.5996867089048 100.84351799411162
64 -2206.7570226816597 2308.010661334421 101.25363865276131
65 -2191.238193762115 2292.8527836117005 101.61458984958587
66 -2177.3921421752125 2279.155094804867 101.76295262965408
67 -2164.900248660948 2266.9416590433816 102.04141038243347
68 -2153.993062480148 2256.2309607495345 102.23789826938669
69 -2144.6343588743835 2247.0359503703194 102.40159149593589
70 -2136.750311183898 2239.3641868971936 102.61387571329621
71 -2130.375376069648 2233.2176162848427 102.84224021519447
72 -2125.3762248292783 2228.593214631058 103.21698980177959
73 -2122.0708382996754 2225.48293826882 103.4120999691448
74 -2120.2829048544904 2223.8734798013634 103.59057494687285
75 -2119.9617595279283 2223.746668301698 103.7849087737692
76 -2121.100836094289 2225.0798271635567 103.9789910692678
77 -2123.722403433111 2227.8463098865163 104.123906453405
78 -2127.665396234896 2232.015514127453 104.35011789255722
79 -2133.1396433078994 2237.5527343507633 104.41309104286411
80 -2139.9437557722717 2244.419533622547 104.47577785027568
81 -2147.9056037201676 2252.574427076211 104.66882335604345
82 -2157.030062719593 2261.9733572305427 104.94329451094991
83 -2167.5312251720957 2272.5694248610616 105.03819968896588
84 -2179.147635105205 2284.3132726297395 105.1656375245344
85 -2191.8282675344135 2297.1538887676097 105.3256212331964
86 -2205.504095517143 2311.038530781557 105.53443526441377
87 -2220.1211484790033 2325.9131285598523 105.79198008084931
88 -2235.770792767891 2341.7224798088328 105.95168704094161
89 -2252.462197624816 2358.4104175519833 105.9482199271674
90 -2269.8289706334076 2375.920483344836 106.09151271142905
91 -2287.895966879023 2394.196104063751 106.3001371847283
92 -2306.9162584495616 2413.180236734862 106.26397828530037
93 -2326.457285666831 2432.8157867701225 106.35850110329157
94 -2346.381257102765 2453.0464944393216 106.66523733655617
95 -2367.023999236797 2473.816566336987 106.79256710018977
96 -2388.1996597124316 2495.070553157422 106.87089344499026
97 -2409.723330477587 2516.7540845338112 107.03075405622452
98 -2431.7045853608906 2538.813863579463 107.10927821857221
99 -2453.7974219596317 2561.1974904643594 107.40006850472774
100 -2476.3101085271055 2583.854138364478 107.54402983737225
101 -2499.06252467908 2606.734320832356 107.67179615327599
102 -2521.9251552471083 2629.790001160476 107.86484591336786
103 -2544.9333211600997 2652.9750052242407 108.04168406414112
104 -2567.9609119643187 2676.244965600107 108.28405363578875
105 -2591.3733785209747 2699.5571012490054 108.1837227280311
106 -2614.5576298567203 2722.8696282633755 108.31199840665482
107 -2637.783934690956 2746.142666667401 108.35873197644497
108 -2660.9655478847553 2769.3386386751363 108.37309079038054
109 -2683.985642537907 2792.4219575103757 108.43631497246872
110 -2706.8429294477774 2815.359126662472 108.51619721469484
111 -2729.3922826823164 2838.118734441866 108.72645175954985
112 -2751.7336485987607 2860.670733646473 108.93708504771242
113 -2774.035011411858 2882.9868279888447 108.95181657698689
114 -2796.1070243668883 2905.0412318527856 108.93420748589728
115 -2817.811385700555 2926.809620142088 108.99823444153309
116 -2839.239519787509 2948.269300470608 109.02978068309885
117 -2860.240393964193 2969.399696730299 109.15930276610584
118 -2880.9258738319854 2990.1823719224344 109.25649809044889
119 -2901.296457988702 3010.600993799167 109.30453581046538
120 -2921.2219192623415 3030.6401769459612 109.41825768361964
121 -2940.6072961063373 3050.286189146702 109.67889304036447
122 -2959.620691089983 3069.5275725588476 109.90688146886417
123 -2978.4478394213756 3088.3543477546305 109.9065083332548
124 -2996.5745446413166 3106.7582636426514 110.18371900133484
125 -3014.369343047155 3124.7323386006606 110.36299555350551
126 -3031.614465309952 3142.271159072446 110.65669376249431
127 -3048.4046598994014 3159.3711399094523 110.96648001005096
128 -3064.94865476525 3176.029477314666 111.08082254941598
129 -3080.8701605535225 3192.2447928081815 111.37463225465915
130 -3096.41431641901 3208.017526238138 111.6032098191279
131 -3111.468451358221 3223.3494008438283 111.88094948560818
132 -3126.2960542869437 3238.242571309523 111.94651702257931
133 -3140.622810151514 3252.7002300343465 112.07741988283232
134 -3154.6986123692614 3266.727580303778 112.02896793451667
135 -3168.2522884586456 3280.3306361307204 112.07834767207488
136 -3181.208742791831 3293.516147739356 112.30740494752479
137 -3193.8852461669285 3306.291234089672 112.40598792274328
138 -3206.0124945257567 3318.6638306252735 112.65133609951693
139 -3217.697398692375 3330.6431838836147 112.94578519124008
140 -3229.031410873776 3342.2389485657086 113.20753769193259
141 -3240.122472496321 3353.4611041313638 113.33863163504277
142 -3250.7192201519774 3364.3197993655913 113.600579213614
143 -3261.1102238364274 3374.8257174539385 113.71549361751102
144 -3271.1428775840855 3384.9895849714085 113.84670738732302
145 -3281.105727840824 3394.8224834608545 113.7167556200304
146 -3290.4551131503854 3404.3357795571924 113.88066640680678
147 -3299.626432797333 3413.5403904364935 113.91395763916042
148 -3308.4347285541685 3422.4472717083227 114.01254315415397
149 -3316.7437724174706 3431.066966820794 114.32319440332313
150 -3325.0700077567335 3439.410023790161 114.34001603342742
151 -3333.015875903988 3447.4868890800158 114.47101317602728
152 -3340.5422663800136 3455.3073680063985 114.76510162638503
153 -3347.9359243287918 3462.8809962570313 114.9450719282396
154 -3355.1244764767457 3470.216907458108 115.09243098136224
155 -3362.1651523329765 3477.3234080622433 115.15825572926684
